FantaCode,Role,Name,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass,Gdv,Gdp,Day
554,D,Zappacosta,6,0,0,0,0,0,0,0,0,0,0,0,2
695,D,Toloi,6,0,0,0,0,0,0,0,0,0,0,0,2
787,D,Djimsiti,6.5,0,0,0,0,0,0,0,0,0,0,0,2
2160,D,Gosens,6,0,0,0,0,0,0,1,0,0,0,0,2
2181,D,Palomino,6.5,0,0,0,0,0,0,1,0,0,0,0,2
5375,D,Maehle,6.5,0,0,0,0,0,0,0,0,0,0,0,2
788,C,Freuler,6.5,0,0,0,0,0,0,0,0,0,0,0,2
2077,C,Pasalic,5,0,0,0,0,0,0,0,0,0,0,0,2
2741,C,Pessina,6.5,0,0,0,0,0,0,0,0,0,0,0,2
4427,C,Malinovskyi,5.5,0,0,0,0,0,0,0,0,0,0,0,2
5001,C,Miranchuk,6,0,0,0,0,0,0,0,0,0,0,0,2
177,A,Ilicic,5.5,0,0,0,0,0,0,0,0,0,0,0,2
507,A,Muriel,5.5,0,0,0,0,0,0,0,0,0,0,0,2
4359,A,Piccoli,5.5,0,0,0,0,0,0,0,0,0,0,0,2
5292,A,Lammers,6,0,0,0,0,0,0,0,0,0,0,0,2
684,ALL,Gasperini,5.5,0,0,0,0,0,0,0,0,0,0,0,2
133,P,Skorupski,6.5,0,0,0,0,0,0,0,0,0,0,0,2
487,D,De Silvestri,6.5,0,0,0,0,0,0,0,0,0,0,0,2
2192,D,Bonifazi,6.5,0,0,0,0,0,0,0,0,0,0,0,2
4422,D,Tomiyasu,6,0,0,0,0,0,0,0,0,0,0,0,2
4891,D,Soumaoro,6,0,0,0,0,0,0,0,0,0,0,0,2
5300,D,Hickey,7,0,0,0,0,0,0,0,0,0,0,0,2
272,C,Medel,7,0,0,0,0,0,0,1,0,0,0,0,2
2154,C,Vignato,6,0,0,0,0,0,0,0,0,0,0,0,2
2167,C,Orsolini,5.5,0,0,0,0,0,0,0,0,0,0,0,2
2744,C,Svanberg,5,0,0,0,0,0,0,1,0,0,0,0,2
2835,C,Kingsley,5,0,0,0,0,0,0,0,0,0,0,0,2
4415,C,Skov Olsen,6.5,0,0,0,0,0,0,0,0,0,0,0,2
4869,C,Dominguez,7,0,0,0,0,0,0,1,0,0,0,0,2
537,A,Sansone,6,0,0,0,0,0,0,1,0,0,0,0,2
4268,A,Arnautovic,6,0,0,0,0,0,0,1,0,0,0,0,2
687,ALL,Mihajlovic,7,0,0,0,0,0,0,0,0,0,0,0,2
3,P,Radunovic,5.5,0,4,0,0,0,0,0,0,0,0,0,2
